Species name ,Conservation Status,Threat level,Source
Abelmoschus moschatus,least concerned,0,IUCN
Abrus precatorius,,,
Achillea millefolium,least concerned,0,IUCN
Aconitum balfourii, ,,
Acorus calamus,least concerned,0,IUCN
Ageratum conyzoides,least concerned,0,IUCN
Ammi majus,least concerned,0,IUCN
Andrographis paniculata, ,,
Arctium lappa,least concerned,0,IUCN
Barleria prionitis,least concerned,0,IUCN
Berberis aristata,least concerned,0,IUCN
Bixa orellana,least concerned,0,IUCN
Boerhavia diffusa,,,
Bombax ceiba,least concerned,0,IUCN
Cannabis sativa,,,
Carum carvi,least concerned,0,IUCN
Catunaregam,least concerned,0,IUCN
Celastrus paniculatus,,,
Centella asiatica,,,
Cestrum diurnum,least concerned,0,IUCN
Cestrum nocturnum,least concerned,0,IUCN
Cichorium intybus,least concerned,0,IUCN
Cinnamomum camphora,least concerned,0,IUCN
Cinnamomum tamala,least concerned,0,IUCN
Cissampelos pareira,,,
Clematis gouriana,,,
Crepidium acuminatum,,,
Cullen corylifolium,least concerned,0,IUCN
Desmodium bracteatum,,,
Desmodium gyrans,,,
Digitalis lanata ,least concerned,0,IUCN
Dillenia pentagyna,endangered,2,https://www.researchgate.net/publication/344312138_DILLENIA_PENTAGYNA_ROXB_DILLENIACEAE_IN_CENTRAL_INDIA_A_PLEA_FOR_ITS_CONSERVATION
Diospyros melanoxylon,least concerned,0,IUCN
Elettaria cardamomum,,,
Embelia ribes,,,
Ephedra gerardiana,,,
Evolvulus alsinoides,,,
Ficus benghalensis var. krishnae,,,
Flemingia macrophylla,,,
Glycyrrhiza glabra,,,
Gymnema sylvestre,,,
Hedychium coronarium ,,,
Hedychium spicatum,,,
Helicteres isora,,,
Hemidesmus indicus,,,
 Hiptage benghalensis,,,
Holarrhena pubescens,,,
Justicia adhatoda,,,
Lilium polyphyllum,endangered,2,BSI
Litsea glutinosa,,,
Mallotus philippensis,,,
Mentha x piperita,,,
Mesua ferrea,,,
Murraya paniculata,,,
Nardostachys jatamansi,,,
Origanum majorana,,,
Piper longum,,,
Plantago major,,,
Plectranthus barbatus,,,
Pleurolobus gangeticus ,,,
Plumbago zeylanica,,,
Polygonatum multiflorum,,,
Polygonatum verticillatum,,,
Pterocarpus santalinus,,,
Ranunculus sceleratus,,,
Roscoea purpurea,,,
Rubia cordifolia,,,
Ruta graveolens,,,
Saussurea costus,endangered,2,BSI/IUCN
Sida cordata,,,
Sida cordifolia,,,
Skimmia anquetilia,,,
Taxus wallichiana,endangered,2,BSI/IUCN 
Terminalia bellirica,,,
Terminalia chebula,,,
Thalictrum foliolosum,,,
Valeriana jatamansi,,,
 Vanda coerulea ,,,
Ventilago madraspatana,,,
Withania somnifera,,,
Woodfordia fruticosa,,,
 Wrightia tinctoria,,,
Wrightia tomentosa,,,
,,,
Aconitum ferox,,,
Aconitum heterophyllum,Endangered,2,IUCN
Acorus calamus,least concerned,0,IUCN
Anacyclus pyrethrum,vulnerable,1,IUCN
Aquilaria malaccensis,Endangered,2,IUCN
Arctium lappa,,,
Artemisia annua,,,
Bacopa monnieri,least concerned,0,IUCN
Barleria cristata,least concerned,0,IUCN
Berberis aristata,,,
Bergenia ligulata,,,
Bombax ceiba,least concerned,0,IUCN
Carum carvi,,,
Celastrus paniculatus,,,
Centella asiatica,,,
Cinnamomum camphora,,,
Cissus quadrangularis,,,
Clematis gouriana,,,
 Crepidium acuminatum,,,
Digitalis lanata,,,
Digitalis purpurea,,,
 Dioscorea deltoidea,,,
Diospyros melanoxylon,,,
Evolvulus alsinoides,,,
Gentiana kurroo,Endangered,2,IUCN
 Gloriosa superba,least concerned,0,IUCN
Panax pseudoginseng,,,
Picrorhiza kurrooa,Endangered,2,IUCN
Rauvolfia serpentina,least concerned,0,IUCN
Rauvolfia tetraphylla,least concerned,0,IUCN
Sinopodophyllum hexandrum,Endangered,2,IUCN
Swertia chirayita,,,
Taraxacum officinale,least concerned,0,IUCN
Zanthoxylum armatum,least concerned,0,IUCN
